Time,Open,High,Low,Close,Volume
01.02.2012 08:52:00.000,1.30727,1.30760,1.30723,1.30740,338.35
01.02.2012 08:53:00.000,1.30740,1.30742,1.30697,1.30699,304.54
01.02.2012 08:54:00.000,1.30699,1.30740,1.30699,1.30739,329.98
01.02.2012 08:55:00.000,1.30740,1.30765,1.30715,1.30736,317.84
01.02.2012 08:56:00.000,1.30736,1.30736,1.30706,1.30717,271.91
01.02.2012 08:57:00.000,1.30715,1.30724,1.30688,1.30694,297.21
01.02.2012 08:58:00.000,1.30695,1.30715,1.30682,1.30715,288.49
01.02.2012 08:59:00.000,1.30715,1.30798,1.30715,1.30750,471.84
01.02.2012 09:00:00.000,1.30751,1.30902,1.30751,1.30901,464.52
01.02.2012 09:01:00.000,1.30902,1.30928,1.30879,1.30908,406.27
01.02.2012 09:02:00.000,1.30908,1.31006,1.30908,1.30981,448.75
01.02.2012 09:03:00.000,1.30980,1.30987,1.30954,1.30958,307.54
01.02.2012 09:04:00.000,1.30961,1.30973,1.30935,1.30973,325.67
01.02.2012 09:05:00.000,1.30971,1.31007,1.30937,1.30996,344.11
01.02.2012 09:06:00.000,1.30994,1.31059,1.30971,1.31034,453.51
01.02.2012 09:07:00.000,1.31035,1.31043,1.30997,1.31009,397.03
01.02.2012 09:08:00.000,1.31007,1.31043,1.30989,1.31032,400.33
01.02.2012 09:09:00.000,1.31028,1.31031,1.30987,1.30991,340.13
01.02.2012 09:10:00.000,1.30991,1.30992,1.30946,1.30979,402.50
01.02.2012 09:11:00.000,1.30981,1.30998,1.30959,1.30991,350.47
01.02.2012 09:12:00.000,1.30992,1.31051,1.30986,1.31022,353.38
01.02.2012 09:13:00.000,1.31022,1.31031,1.30984,1.30987,269.02
01.02.2012 09:14:00.000,1.30987,1.31083,1.30984,1.31083,405.30
01.02.2012 09:15:00.000,1.31083,1.31128,1.31070,1.31078,427.77
01.02.2012 09:16:00.000,1.31078,1.31090,1.31040,1.31042,320.86
01.02.2012 09:17:00.000,1.31042,1.31045,1.31027,1.31029,312.38
01.02.2012 09:18:00.000,1.31032,1.31045,1.31020,1.31027,272.54
01.02.2012 09:19:00.000,1.31027,1.31043,1.31007,1.31013,312.91
01.02.2012 09:20:00.000,1.31013,1.31052,1.31011,1.31019,313.05
01.02.2012 09:21:00.000,1.31020,1.31085,1.31013,1.31072,372.58
01.02.2012 09:22:00.000,1.31072,1.31072,1.31035,1.31065,365.17
01.02.2012 09:23:00.000,1.31063,1.31091,1.31058,1.31065,340.65
01.02.2012 09:24:00.000,1.31065,1.31075,1.31056,1.31057,274.32
01.02.2012 09:25:00.000,1.31058,1.31060,1.31026,1.31026,282.79
01.02.2012 09:26:00.000,1.31025,1.31045,1.31000,1.31021,279.04
01.02.2012 09:27:00.000,1.31020,1.31034,1.31001,1.31021,248.80
01.02.2012 09:28:00.000,1.31020,1.31074,1.31016,1.31070,322.08
01.02.2012 09:29:00.000,1.31075,1.31171,1.31073,1.31140,456.54
01.02.2012 09:30:00.000,1.31140,1.31155,1.31120,1.31136,379.58
01.02.2012 09:31:00.000,1.31134,1.31139,1.31113,1.31117,255.08
01.02.2012 09:32:00.000,1.31117,1.31143,1.31114,1.31127,325.96
01.02.2012 09:33:00.000,1.31128,1.31142,1.31102,1.31108,321.20
01.02.2012 09:34:00.000,1.31110,1.31111,1.31067,1.31086,301.99
01.02.2012 09:35:00.000,1.31086,1.31165,1.31083,1.31163,342.89
01.02.2012 09:36:00.000,1.31161,1.31203,1.31143,1.31203,254.37
01.02.2012 09:37:00.000,1.31204,1.31204,1.31170,1.31176,328.84
01.02.2012 09:38:00.000,1.31177,1.31193,1.31160,1.31192,372.70
01.02.2012 09:39:00.000,1.31193,1.31193,1.31133,1.31133,361.17
01.02.2012 09:40:00.000,1.31133,1.31171,1.31112,1.31145,296.00
01.02.2012 09:41:00.000,1.31143,1.31159,1.31119,1.31127,242.21
01.02.2012 09:42:00.000,1.31127,1.31223,1.31127,1.31212,337.69
01.02.2012 09:43:00.000,1.31211,1.31256,1.31208,1.31239,330.58
01.02.2012 09:44:00.000,1.31235,1.31254,1.31210,1.31247,301.28
01.02.2012 09:45:00.000,1.31246,1.31318,1.31235,1.31298,376.47
01.02.2012 09:46:00.000,1.31299,1.31314,1.31283,1.31311,366.98
01.02.2012 09:47:00.000,1.31309,1.31311,1.31268,1.31273,377.77
01.02.2012 09:48:00.000,1.31275,1.31289,1.31253,1.31268,370.69
01.02.2012 09:49:00.000,1.31266,1.31274,1.31237,1.31262,332.06
01.02.2012 09:50:00.000,1.31262,1.31276,1.31257,1.31264,335.75
01.02.2012 09:51:00.000,1.31263,1.31290,1.31257,1.31273,373.87
01.02.2012 09:52:00.000,1.31273,1.31283,1.31253,1.31266,301.56
01.02.2012 09:53:00.000,1.31266,1.31295,1.31262,1.31277,380.92
01.02.2012 09:54:00.000,1.31279,1.31302,1.31274,1.31283,261.49
01.02.2012 09:55:00.000,1.31282,1.31321,1.31279,1.31320,250.84
01.02.2012 09:56:00.000,1.31320,1.31391,1.31310,1.31390,386.24
01.02.2012 09:57:00.000,1.31391,1.31406,1.31352,1.31353,430.48
01.02.2012 09:58:00.000,1.31353,1.31380,1.31344,1.31370,406.87
01.02.2012 09:59:00.000,1.31370,1.31413,1.31370,1.31412,435.50
01.02.2012 10:00:00.000,1.31411,1.31479,1.31407,1.31441,423.11
01.02.2012 10:01:00.000,1.31441,1.31442,1.31385,1.31390,379.06
01.02.2012 10:02:00.000,1.31392,1.31438,1.31391,1.31412,371.31
01.02.2012 10:03:00.000,1.31413,1.31417,1.31362,1.31369,281.90
01.02.2012 10:04:00.000,1.31368,1.31399,1.31361,1.31388,303.10
01.02.2012 10:05:00.000,1.31388,1.31451,1.31388,1.31444,310.58
01.02.2012 10:06:00.000,1.31443,1.31443,1.31405,1.31413,211.00
01.02.2012 10:07:00.000,1.31411,1.31432,1.31381,1.31381,318.73
01.02.2012 10:08:00.000,1.31382,1.31390,1.31339,1.31341,265.04
01.02.2012 10:09:00.000,1.31341,1.31354,1.31320,1.31324,261.07
01.02.2012 10:10:00.000,1.31325,1.31351,1.31313,1.31316,270.88
01.02.2012 10:11:00.000,1.31316,1.31320,1.31292,1.31296,204.16
01.02.2012 10:12:00.000,1.31298,1.31320,1.31298,1.31313,293.72
01.02.2012 10:13:00.000,1.31314,1.31334,1.31311,1.31324,330.48
01.02.2012 10:14:00.000,1.31323,1.31331,1.31312,1.31324,247.97
01.02.2012 10:15:00.000,1.31324,1.31344,1.31316,1.31330,295.04
01.02.2012 10:16:00.000,1.31332,1.31351,1.31313,1.31339,286.63
01.02.2012 10:17:00.000,1.31339,1.31378,1.31335,1.31375,227.22
01.02.2012 10:18:00.000,1.31377,1.31394,1.31369,1.31394,227.22
01.02.2012 10:19:00.000,1.31394,1.31422,1.31389,1.31401,312.31
01.02.2012 10:20:00.000,1.31401,1.31408,1.31367,1.31372,255.34
01.02.2012 10:21:00.000,1.31370,1.31394,1.31366,1.31366,267.09
01.02.2012 10:22:00.000,1.31366,1.31375,1.31340,1.31374,239.10
01.02.2012 10:23:00.000,1.31373,1.31415,1.31370,1.31370,275.43
01.02.2012 10:24:00.000,1.31369,1.31404,1.31364,1.31383,320.15
01.02.2012 10:25:00.000,1.31383,1.31404,1.31368,1.31395,323.90
01.02.2012 10:26:00.000,1.31396,1.31396,1.31367,1.31381,263.53
01.02.2012 10:27:00.000,1.31380,1.31400,1.31374,1.31382,242.55
01.02.2012 10:28:00.000,1.31381,1.31392,1.31359,1.31367,271.33
01.02.2012 10:29:00.000,1.31370,1.31376,1.31349,1.31349,210.35
01.02.2012 10:30:00.000,1.31347,1.31347,1.31310,1.31318,290.42
01.02.2012 10:31:00.000,1.31318,1.31347,1.31305,1.31347,328.62
01.02.2012 10:32:00.000,1.31347,1.31364,1.31321,1.31328,262.37
01.02.2012 10:33:00.000,1.31328,1.31361,1.31307,1.31354,280.38
01.02.2012 10:34:00.000,1.31353,1.31353,1.31326,1.31326,227.04
01.02.2012 10:35:00.000,1.31326,1.31337,1.31320,1.31322,183.88
01.02.2012 10:36:00.000,1.31322,1.31325,1.31280,1.31282,214.17
01.02.2012 10:37:00.000,1.31282,1.31282,1.31254,1.31281,202.24
